Num,City,Country,Latitude,Longitude,Total,Food,Meal,Coke/Pepsi (0.33L bottle),Milk (1 L),Beer (0.5L bottle),Apples (1kg),Cappuccino,Transportation,Gasoline (1 L),New Toyota Corolla,Accomodation,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",Personal and Household Expenses,Internet,"Fitness Club, Monthly Fee for 1 Adult","Cinema, International Release, 1 Seat",1 Pair of Jeans,1 Pair of Nike Running Shoes,Education,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","International Primary School, Yearly for 1 Child",Average Monthly Net Salary (After Tax)
88,Hong Kong,Hong Kong,22.28247,114.16157,55012.736,19.7181,6.3002,1.1009,2.7686,1.6786,3.3463,4.5235,27623.6193,2.1364,27621.4829,8192.5381,4923.2575,3077.1463,192.1343,274.3312,23.5549,74.5233,12.6113,77.0848,86.5569,18902.5293,697.9924,18204.5369,2602.5494
89,"Portland, OR",USA,45.50511,-122.67503,46440.2784,27.8168,13.7122,1.9402,0.8502,1.9947,5.123,4.1965,22339.6699,0.8393,22338.8306,4788.5553,2695.243,1928.7441,164.5682,249.4029,66.3374,43.491,11.7502,49.2898,78.5345,19034.8335,1172.9381,17861.8954,3709.4335
90,Lisbon,Portugal,38.72225,-9.13934,39042.0124,15.8159,9.265,1.4715,0.7085,1.1881,1.6132,1.5696,26577.6226,1.7004,26575.9222,3191.8797,1850.493,1233.1606,108.2261,250.9834,35.2615,37.714,7.63,87.0256,83.3523,9005.7108,459.3042,8546.4066,996.0529
91,Beijing,China,39.9042,116.4074,43117.6859,13.5814,4.2619,0.5123,1.853,0.7521,1.853,4.3491,16718.0821,1.0137,16717.0684,3558.9154,2165.2414,1333.6913,59.9827,208.8004,13.5487,45.8236,7.0959,66.5118,75.8204,22618.3066,681.9912,21936.3154,1239.6134
92,Cape Town,South Africa,-33.92487,18.42406,26086.5449,16.7533,9.7119,0.9156,0.9919,1.6241,1.6241,1.8857,19193.0252,1.0682,19191.957,2669.1484,1560.2914,1040.8955,67.9615,253.0108,66.8497,37.5505,5.7661,51.3063,91.5382,3954.6072,203.6883,3750.9189,1243.4284
93,Tirana,Albania,41.32755,19.8187,22644.0524,9.919,4.469,1.1663,1.1663,0.8393,0.9701,1.308,18721.3604,1.5914,18719.769,1060.6899,630.9247,355.3509,74.4143,180.5803,20.9062,32.1441,5.3628,43.8943,78.2729,2671.5028,138.5935,2532.9093,366.7087
94,Porto,Portugal,41.15794,-8.62911,35847.3859,14.5188,7.63,1.4606,0.7303,1.0791,1.8639,1.7549,26257.0427,1.6677,26255.375,2447.1372,1396.7587,940.125,110.2535,243.3098,33.9208,35.1198,7.5755,92.0287,74.665,6885.3774,353.16,6532.2174,873.7549
95,Durban,South Africa,-29.85868,31.02184,24534.4721,14.0828,8.1423,0.8611,0.9483,1.0464,1.3625,1.7222,18967.526,1.0573,18966.4687,1416.4877,635.5681,697.1204,83.7992,228.2896,63.438,29.5935,5.7661,47.7311,81.7609,3908.086,174.0839,3734.0021,1017.1989
96,Budapest,Hungary,47.49791,19.04024,29432.1473,11.9028,6.5291,1.1009,0.763,0.8502,1.1227,1.5369,19789.0699,1.2971,19787.7728,1856.3136,1002.8218,692.2372,161.2546,198.8923,14.2354,41.2565,5.8751,63.3072,74.2181,7575.9687,297.897,7278.0717,823.2988
97,Vilnius,Lithuania,54.68716,25.27965,29004.5294,14.5842,7.63,1.635,0.9374,1.1772,0.9156,2.289,19152.608,1.308,19151.3,1612.655,915.6,570.7676,126.2874,184.5697,12.0227,30.0949,7.63,55.4483,79.3738,8040.1125,376.05,7664.0625,994.4833
98,Johannesburg,South Africa,-26.2041,28.04731,27224.1125,15.9358,9.2323,0.981,1.09,1.308,1.5042,1.8203,19756.3045,1.1009,19755.2036,1792.723,931.8628,770.085,90.7752,239.9744,65.3237,36.1444,6.1585,52.9631,79.3847,5419.1748,236.6826,5182.4922,1187.0754
99,Barcelona,Spain,41.38506,2.1734,35193.2769,19.4456,11.99,1.7767,0.9374,0.9047,1.8857,1.9511,22860.3084,1.4497,22858.8587,2973.8688,1638.2046,1186.7157,148.9485,266.614,46.4013,44.8426,9.265,79.4719,86.6332,9073.0401,478.3901,8594.65,1574.4832
100,"San Diego, CA",USA,32.71574,-117.16108,45987.2962,27.25,14.6932,1.8966,0.9592,1.9184,3.6079,4.1747,20576.7911,1.0028,20575.7883,6399.8369,3547.4159,2717.2719,135.1491,234.895,62.0973,35.5558,13.7122,47.2733,76.2564,18748.5232,1054.9565,17693.5667,4679.5117
101,"San Francisco, CA",USA,37.77493,-122.41942,63458.819,32.3403,17.3855,2.4634,1.0682,2.2236,4.7742,4.4254,21994.7612,1.0355,21993.7257,11020.1289,6171.0677,4709.8355,139.2257,308.9496,65.4,84.0172,14.6932,60.6912,84.148,30102.639,2135.7024,27966.9366,7120.1089
102,Lima,Peru,-12.04637,-77.04275,25660.6819,11.4123,3.5534,0.7521,1.3734,1.635,1.7658,2.3326,18080.1352,1.1336,18079.0016,1604.4691,924.0911,610.6507,69.7273,218.2398,37.9538,53.2356,5.9187,46.2596,74.8721,5746.4255,242.7212,5503.7043,479.0441
103,"Seattle, WA",USA,47.60621,-122.33207,51997.0439,28.9395,14.6932,2.1473,0.8393,1.9947,5.1121,4.1529,22316.0714,0.9156,22315.1558,6174.9263,3487.4332,2530.3696,157.1235,260.8261,63.7214,53.3446,14.6932,46.3795,82.6874,23216.2806,1709.7849,21506.4957,5168.3985
104,Brasov,Romania,45.65798,25.6012,24825.0007,11.9137,6.8343,1.1663,0.9919,0.6431,0.7412,1.5369,18896.9485,1.308,18895.6405,1011.9669,510.7631,391.7787,109.4251,159.9466,8.2077,32.4929,6.8343,50.8921,61.5196,4744.225,245.5116,4498.7134,604.4704
105,Bucharest,Romania,44.42677,26.10254,28603.7037,13.2762,6.8452,1.5151,1.1118,0.7848,0.981,2.0383,19947.7412,1.308,19946.4332,1309.635,730.9431,481.5402,97.1517,190.2268,9.2323,39.0656,6.8452,64.9095,70.1742,7142.8245,349.9118,6792.9127,717.9394
106,Tashkent,Uzbekistan,41.2995,69.24007,26427.9111,7.9788,3.9131,0.5886,0.6976,0.5559,1.0137,1.2099,20958.5636,0.5014,20958.0622,785.5303,489.6716,261.491,34.3677,183.0655,38.6732,26.9993,3.9131,38.4225,75.0574,4492.7729,136.9476,4355.8253,224.5182
107,Ahmedabad,India,23.02251,72.57136,24925.793,8.066,2.071,0.4251,0.6976,1.7331,1.6132,1.526,22683.3796,0.9919,22682.3877,743.9468,399.6921,292.0001,52.2546,106.0243,8.0006,19.8162,3.4444,28.0784,46.6847,1384.3763,55.9606,1328.4157,330.8586
108,Cluj Napoca,Romania,46.77121,23.62364,24583.6529,11.336,5.7007,1.2426,1.0682,0.7957,0.7848,1.744,18000.9467,1.3189,17999.6278,1404.5304,761.6266,542.7873,100.1165,164.5791,8.0006,28.5689,5.7007,53.5735,68.7354,5002.2607,285.6345,4716.6262,700.7174
109,Madrid,Spain,40.41678,-3.70379,35317.6132,20.7536,13.08,1.8639,0.9047,1.0791,1.9075,1.9184,23404.2511,1.4606,23402.7905,3144.9225,1791.1752,1223.089,130.6583,249.2067,45.6601,38.7713,9.81,77.39,77.5753,8498.4793,482.8264,8015.6529,1720.8593
110,Tallinn,Estonia,59.43696,24.75357,29556.1784,17.2983,8.72,1.9947,0.763,1.5478,1.2317,3.0411,18870.08,1.4715,18868.6085,1805.04,947.5261,666.4914,191.0225,234.0339,24.9392,49.5296,8.72,77.6407,73.2044,8629.7262,273.5246,8356.2016,1295.8029
111,Bangalore,India,12.9716,77.59456,28348.8726,9.5702,2.7577,0.4796,0.5777,1.7113,2.2672,1.7767,24465.8457,1.0682,24464.7775,963.451,594.9547,344.2547,24.2416,118.4394,13.5378,21.8,4.142,32.3294,46.6302,2791.5663,95.7238,2695.8425,631.3498
112,Iasi,Romania,47.15845,27.60144,23464.8987,11.2706,5.7007,1.2644,0.981,0.8829,0.8284,1.6132,18530.5559,1.2971,18529.2588,1017.2316,522.3607,369.401,125.4699,162.6934,7.412,30.8688,5.4718,57.6828,61.258,3743.1472,235.5163,3507.6309,577.1768
113,Chennai,India,13.08268,80.27072,26041.953,8.0224,1.6568,0.4578,0.654,1.6241,2.2127,1.417,23550.2457,1.0682,23549.1775,719.7815,434.7792,246.0675,38.9348,105.5556,12.1971,19.2167,2.7577,29.3646,42.0195,1658.3478,55.7208,1602.627,440.1638
114,Doha,Qatar,25.28545,51.53104,33392.3462,24.4705,6.7362,0.7085,1.7658,8.2622,1.962,5.0358,18028.9488,0.5232,18028.4256,4680.6889,2725,1885.2858,70.4031,350.9364,85.3579,104.5201,9.4394,60.3206,91.2984,10307.3016,585.7115,9721.5901,3082.2584
115,Delhi,India,28.68627,77.22178,26216.9198,10.3441,4.142,0.4578,0.6976,1.4824,1.7767,1.7876,23272.8407,1.0246,23271.8161,909.7358,535.4843,317.9203,56.3312,123.5406,10.6384,23.2715,4.142,33.3104,52.1783,1900.4586,74.8939,1825.5647,516.442
116,Gurgaon,India,28.4595,77.02664,28282.8949,10.9436,4.142,0.4251,0.6867,1.6241,2.2018,1.8639,24200.7141,1.0246,24199.6895,1072.9197,621.2128,382.4592,69.2477,145.951,13.9629,31.7735,4.8287,36.4387,58.9472,2852.3665,113.4581,2738.9084,936.6697
117,Valencia,Spain,39.46991,-0.37629,31216.5318,15.9794,9.5375,1.6459,0.7303,0.7521,1.6459,1.6677,20399.9931,1.417,20398.5761,2040.2838,1148.3913,768.2429,123.6496,227.9081,38.4334,34.1715,8.72,75.21,71.3732,8532.3674,442.1476,8090.2198,1462.9653
118,Vienna,Austria,48.20817,16.37382,45455.9648,21.7455,10.9,3.0193,1.1227,1.0573,2.1691,3.4771,24371.1574,1.3516,24369.8058,3104.3091,1726.778,1204.8206,172.7105,248.8797,33.6374,29.9096,10.9,85.5977,88.835,17709.8731,230.9492,17478.9239,2071.4687
119,Hyderabad,India,17.38504,78.48667,26012.4576,8.1641,2.071,0.4578,0.6758,1.5696,2.1146,1.2753,23267.9575,1.0682,23266.8893,693.0765,427.6506,241.6748,23.7511,107.1688,10.3223,19.729,2.7577,28.994,45.3658,1936.0907,65.7488,1870.3419,480.8208
120,Montevideo,Uruguay,-34.81816,-56.21383,39347.8337,17.1784,9.1669,1.3625,0.7303,1.7004,1.6568,2.5615,30987.8825,1.4279,30986.4546,1530.9704,793.2693,630.6413,107.0598,244.7813,31.2285,43.7417,7.8589,72.9755,88.9767,6567.0211,300.3822,6266.6389,700.3141
121,Tel Aviv,Israel,32.0853,34.78177,53628.218,30.2693,16.9386,2.5833,1.6786,2.4525,2.9103,3.706,37920.555,1.7876,37918.7674,4363.8586,2389.8359,1759.0202,215.0025,331.3273,27.0756,73.9238,11.2924,94.3286,124.7069,10982.2078,912.8314,10069.3764,2513.7907
122,Timisoara,Romania,45.74887,21.20868,23229.4478,10.8782,5.7007,1.0791,1.0028,0.7412,0.8066,1.5478,17679.7128,1.2971,17678.4157,1103.0909,578.9971,420.2277,103.8661,156.8728,8.2077,27.577,5.7007,49.5187,65.8687,4278.8931,279.8902,3999.0029,668.4643
123,Taipei,Taiwan,25.03297,121.56542,36942.3563,16.9277,3.9349,0.872,2.8776,1.5369,4.8287,2.8776,22572.7119,0.9592,22571.7527,2053.4837,1182.0505,796.4412,74.992,227.3849,22.3995,43.9815,9.8318,66.0322,85.1399,12071.8481,506.3595,11565.4886,1461.4393
124,Kolkata,India,22.57265,88.3639,23405.3193,8.6328,2.7577,0.3815,0.545,1.6677,1.7767,1.5042,21438.6868,1.0464,21437.6404,584.131,350.9037,201.105,32.1223,106.0243,8.4148,16.5462,3.4444,32.5256,45.0933,1267.8444,40.3954,1227.449,352.1354
125,Skopje,Macedonia,42.00503,21.44077,24189.3563,10.6929,5.3083,1.3843,0.9156,0.7957,0.7957,1.4933,19399.5366,1.199,19398.3376,895.8165,456.0015,322.9016,116.9134,170.4978,16.4699,24.0127,4.4254,53.2465,72.3433,3712.8125,182.4878,3530.3247,428.3809
126,Shanghai,China,31.23042,121.4737,48196.2575,15.4562,4.9704,0.6104,2.6051,0.7194,2.3871,4.1638,18980.5079,1.0028,18979.5051,3740.4222,2420.563,1263.5062,56.353,229.4123,15.5434,48.941,8.5129,66.1957,90.2193,25230.4589,737.6466,24492.8123,1211.5568
127,Bangkok,Thailand,13.75633,100.50177,45970.8263,11.4123,1.9402,0.5559,1.6459,1.9511,3.0629,2.2563,27505.714,0.9701,27504.7439,2955.3388,1982.7754,875.6733,96.8901,253.7847,22.5521,66.5663,8.0878,60.0917,96.4868,15244.5765,266.7012,14977.8753,728.774
128,Mumbai,India,19.07598,72.87766,26964.9759,11.336,4.142,0.4905,0.7412,1.853,2.0165,2.0928,22213.6659,1.09,22212.5759,2288.0735,1573.3387,663.0143,51.7205,126.4509,9.9081,26.8467,4.142,34.1715,51.3826,2325.4496,68.8226,2256.627,531.8764
129,Reykjavik,Iceland,64.14658,-21.94264,45613.339,33.1687,19.5764,2.8449,1.308,2.6814,2.2781,4.4799,32853.0251,1.7767,32851.2484,4728.9214,2541.88,2090.9688,96.0726,392.9559,64.9967,59.3396,12.6113,118.265,137.7433,7605.2679,267.6822,7337.5857,3170.6574
130,Amman,Jordan,31.95395,35.91064,35497.6703,20.0124,6.9106,0.5123,1.6241,4.8396,2.0492,4.0766,28713.4122,1.1663,28712.2459,1250.4807,675.4621,487.1428,87.8758,271.7915,42.3574,61.4542,11.0526,64.5389,92.3884,5241.9735,262.1777,4979.7958,594.6495
131,Pune,India,18.52043,73.85674,25927.8409,10.3659,3.4444,0.4796,0.6867,1.7658,2.2345,1.7549,23369.491,1.09,23368.401,748.3504,436.1853,283.1166,29.0485,122.407,12.753,17.5272,3.8586,37.5069,50.7613,1677.2266,77.7061,1599.5205,578.8881
132,Stockholm,Sweden,59.32932,18.06858,33112.3579,24.8411,12.426,2.507,1.2644,1.9838,2.6923,3.9676,22882.4463,1.6241,22880.8222,3492.5235,2103.7436,1306.0489,82.731,280.1954,30.4982,41.2347,13.9738,93.6637,100.825,6432.3516,126.5817,6305.7699,2699.0253
133,Buenos Aires,Argentina,-34.60368,-58.38156,22731.5685,12.2189,6.5291,1.0246,0.8829,1.0791,1.1118,1.5914,18045.9746,0.8611,18045.1135,914.4773,475.7087,364.5723,74.1963,186.9677,27.0211,28.231,6.5291,53.9223,71.2642,3571.93,177.3648,3394.5652,527.5491
134,Minsk,Belarus,53.9006,27.55897,26871.0506,14.9439,9.7337,0.7194,0.7412,0.9265,1.0355,1.7876,19261.2374,0.7739,19260.4635,1120.2148,646.4245,421.1542,52.6361,210.1193,13.9956,34.7165,4.4036,63.0783,93.9253,6264.5352,438.2672,5826.268,472.3733
135,San Jose,Costa Rica,9.91297,-84.07683,36057.0256,18.7262,6.8561,1.4933,1.3407,2.0601,4.0984,2.8776,25646.6536,1.09,25645.5636,1860.6845,963.6799,826.0238,70.9808,296.5781,71.177,58.5112,5.995,65.6289,95.266,8234.3832,351.6013,7882.7819,772.1996
136,Casablanca,Morocco,33.57311,-7.58984,27035.2809,11.445,4.8505,0.5014,0.7303,2.2672,1.4497,1.6459,20957.5063,1.0573,20956.449,1322.1591,865.1766,418.0259,38.9566,195.1427,34.4767,26.6941,6.1367,48.0581,79.7771,4549.0278,155.0416,4393.9862,442.213
137,Lodz,Poland,51.75925,19.45598,24780.8448,10.1806,5.1448,1.0791,0.5995,0.7521,0.7194,1.8857,19274.2302,1.2753,19272.9549,1350.3247,646.9259,515.9079,187.4909,180.4059,13.6577,28.7215,6.431,62.6423,68.9534,3965.7034,251.0161,3714.6873,751.4896
138,Montreal,Canada,45.50169,-73.56726,26569.0661,22.1924,11.2379,1.635,1.526,1.9293,2.7795,3.0847,16920.07,0.9592,16919.1108,2714.7976,1614.5625,1027.6193,72.6158,203.6992,46.4231,25.1136,9.7446,48.0908,74.3271,6708.3069,490.5981,6217.7088,2378.9359
139,Sao Paulo,Brazil,-23.54318,-46.62918,34505.4651,13.6141,7.1722,1.199,0.8066,1.2753,1.5696,1.5914,21229.1125,1.0028,21228.1097,1650.2709,958.4479,632.7341,59.0889,183.7631,26.378,27.6969,8.3712,43.6436,77.6734,11428.7045,416.9032,11011.8013,512.5725
140,Gothenburg,Sweden,57.70887,11.97456,25126.3966,23.2279,11.3905,2.4198,1.199,1.7004,2.616,3.9022,19907.3676,1.6241,19905.7435,3000.0506,1702.4492,1241.2593,56.3421,246.8632,33.1578,34.9127,13.4506,84.4641,80.878,1948.8873,138.4518,1810.4355,2379.9714
141,Dublin,Ireland,53.34981,-6.26031,44101.6071,27.7514,16.35,1.962,1.0355,2.6378,2.2781,3.488,27925.2659,1.5696,27923.6963,5914.3945,3231.1524,2498.9013,184.3408,293.4934,58.8709,43.8398,13.08,84.5949,93.1078,9940.7019,1135.2241,8805.4778,2758.9644
142,Moscow,Russia,55.75583,37.6173,36994.6327,16.6443,9.592,0.872,1.1227,1.0137,1.3952,2.6487,21514.9977,0.7412,21514.2565,3223.8821,2006.0905,1080.0592,137.7324,247.103,7.4011,45.2895,7.194,90.9714,96.247,11992.0056,570.4079,11421.5977,1057.6161
143,Santo Domingo,Dominican Republic,18.48606,-69.93121,29730.9381,13.1345,5.559,0.8611,1.1227,2.0383,1.9075,1.6459,22269.9426,1.1445,22268.7981,1272.4551,822.0562,391.8986,58.5003,212.6699,54.5327,24.5141,5.559,47.5131,80.551,5962.736,166.0942,5796.6418,365.5097
144,Adelaide,Australia,-34.9285,138.60075,29518.617,25.0482,12.1971,2.3435,1.0573,3.7169,2.8667,2.8667,16533.7086,1.0137,16532.6949,2681.9777,1492.6351,1059.153,130.1896,236.6172,45.7255,37.1145,10.1588,61.6395,81.9789,10041.2653,431.9125,9609.3528,2892.0534
145,Zurich,Switzerland,47.37689,8.54169,63239.9579,42.3356,25.2008,4.2183,1.7222,1.9511,4.1638,5.0794,23382.1132,1.6677,23380.4455,6059.6043,3378.8474,2503.2286,177.5283,392.4,53.0939,83.1997,18.1376,116.5537,121.4151,33363.5048,2392.1576,30971.3472,6229.132
146,Yerevan,Armenia,40.1872,44.51521,26423.0279,10.5948,5.123,0.654,0.8938,0.8175,0.981,2.1255,21630.4178,0.9047,21629.5131,1131.3546,724.0325,341.8567,65.4654,204.048,15.3581,47.0226,5.123,56.462,80.0823,3446.6127,154.4094,3292.2033,322.2694
147,Manila,Philippines,14.60905,121.02226,27636.0344,11.9791,3.8804,0.6758,1.6132,0.9483,2.3653,2.4961,18244.6816,1.0028,18243.6788,2466.5174,1830.5133,504.2558,131.7483,226.5129,49.5623,47.9273,5.8315,46.2487,76.9431,6686.3434,156.8946,6529.4488,390.438
148,Brisbane,Australia,-27.46977,153.02512,30468.0615,26.2254,13.4942,2.2236,0.981,3.6624,2.8122,3.052,16144.3933,1.0028,16143.3905,3328.5875,1958.3158,1251.9849,118.2868,264.5321,51.2954,43.6327,10.1261,64.6479,94.83,10704.3232,1171.0524,9533.2708,3302.7327
149,Jakarta,Indonesia,-6.20876,106.8456,38973.7566,12.6985,2.8558,0.6104,1.3516,2.2999,3.052,2.5288,30065.7861,0.654,30065.1321,2279.6042,1483.6862,691.1472,104.7708,188.679,28.8523,41.5181,3.5752,43.1749,71.5585,6426.9888,153.0905,6273.8983,451.6197
150,Ankara,Turkey,39.93336,32.85974,28773.6783,10.246,4.1638,0.7085,0.7521,1.8966,0.872,1.853,21947.4879,1.1663,21946.3216,629.6603,351.9174,218.218,59.5249,141.1441,15.3799,22.6829,3.3354,38.8803,60.8656,6045.14,264.3795,5780.7605,479.7853
151,Lviv,Ukraine,49.83968,24.02972,26734.7461,8.2949,4.0875,0.5232,0.9265,0.6758,0.8284,1.2535,22165.3353,1.2426,22164.0927,1190.5089,642.4787,451.6197,96.4105,186.1611,4.8396,18.7044,4.0875,65.3346,93.195,3184.4459,209.8359,2974.61,372.1042
152,Novosibirsk,Russia,55.00835,82.93573,24158.6183,12.5568,6.2348,0.7521,0.9265,0.981,1.6132,2.0492,19761.6455,0.6976,19760.9479,1239.1229,693.1201,442.9869,103.0159,205.1162,8.6764,29.9641,4.796,71.6457,90.034,2940.1769,242.8847,2697.2922,475.5452
153,Bursa,Turkey,40.18853,29.06096,28177.7753,10.0825,4.1638,0.763,0.7521,1.7876,0.8829,1.7331,22773.5008,1.1445,22772.3563,639.0888,343.7642,221.7932,73.5314,137.1002,14.0937,25.506,3.3354,32.0242,62.1409,4618.003,218.5559,4399.4471,483.7965
154,Brussels,Belgium,50.85034,4.35171,47694.803,27.2718,16.35,2.6923,1.0573,1.3516,2.3653,3.4553,23750.8493,1.5696,23749.2797,2912.2947,1561.0326,1217.2139,134.0482,252.6402,47.3387,28.4599,11.99,79.1231,85.7285,20751.747,758.0296,19993.7174,2495.7621
155,Jerusalem,Israel,31.76832,35.21371,46635.105,29.0376,16.9604,2.2563,1.5587,2.2018,3.0084,3.052,38066.2444,1.8203,38064.4241,3223.9911,1719.4968,1322.5951,181.8992,317.517,26.3344,77.6843,11.3033,88.5625,113.6325,4998.3149,617.1362,4381.1787,2083.1208
156,Melbourne,Australia,-37.81363,144.96306,36084.5372,23.2715,11.1398,2.0819,0.981,3.4117,2.7904,2.8667,16592.7975,0.9919,16591.8056,3811.6101,2210.2039,1462.0279,139.3783,261.1531,47.1752,50.4452,13.4942,67.4274,82.6111,15395.705,1362.9469,14032.7581,3043.2364
157,Perth,Australia,-31.95053,115.86046,33566.2666,25.6259,13.5487,1.9511,1.1227,3.2591,2.6269,3.1174,16611.6763,0.9483,16610.728,2819.1651,1607.3249,1071.2084,140.6318,249.1413,47.7202,42.8588,12.1971,62.8276,83.5376,13860.658,1297.2308,12563.4272,2718.2093
158,Sydney,Australia,-33.86882,151.2093,36253.6943,25.4733,12.8729,2.1691,0.981,3.7278,3.0193,2.7032,16423.6295,1.0137,16422.6158,5008.9206,2915.0088,1973.2488,120.663,273.6227,47.4259,51.6333,13.5487,66.7298,94.285,14522.0482,1514.4787,13007.5695,3290.0124
159,Alexandria,Egypt,31.20009,29.91874,28261.9887,8.9162,3.0629,0.3488,0.8829,1.4279,1.6132,1.5805,25148.7525,0.4251,25148.3274,516.0169,311.5438,184.2427,20.2304,203.4376,18.0613,21.3422,3.9894,35.2506,124.7941,2384.8655,60.3969,2324.4686,178.6946
160,Quito,Ecuador,-0.18065,-78.46784,36425.5219,11.2379,3.9131,0.7739,0.9483,1.3734,2.2563,1.9729,27604.7514,0.5886,27604.1628,1272.4987,741.5052,487.7859,43.2076,248.5527,40.0793,44.5919,5.8751,61.6613,96.3451,7288.4812,301.5267,6986.9545,574.6262
